Title;Artist;Transposition;Capo;Chords
A Thousand Miles;Vanessa Carlton;0;4;Cadd9 D G Cadd9 / 3x(Cadd9 G D) Em Cadd9 D / 3x(Cadd9 D G Cadd9) Em Cadd9 D / Em D G Am7
Ain't Nobody (45 Version);Chaka Khan;-5;0;2x(Bm A) 2x(G A) / F#m A G A Bm / Bm A Em G
Alfonsina y el Mar;Mercedes Sosa;0;0;Dm E7 2xAm C B7 2xEm (Am D G Am Em B7) 2xE7 (Am D G Am Em B7) 2xEm / Am D 2xG Dm E7 2xAm C 2xEm B7 2xE 2xAm 2xEm F# B7 Em
Always Be My Baby;Mariah Carey;-7;0;A E F#m7 E D Bm 2xE / 2xA D E F#m7 D Bm E / F#m B D Bbm F#m B D E Fdim / 2xA# Eb F Gm Eb Cm F
Baby One More Time;Britney Spears;-3;0;Am E C Dm E / G Am E C Dm E F G F Dm E
Beautiful Soul;Jesse McCartney;0;0;A E F#m D F#m E A D / A E F#m D / F#m E A D
Beautiful;Christina Aguilera;-3;0;B A G#m G / 2x(E C#m B A E) C#m B / B A G#m G
Because Of You;Kelly Clarkson;-7;0;3x(D A Bm G) D A G A / 3x(Bm G A) A Bm A / Bm G A
Because Of You;Ne-Yo;-1;0;G A Bm
Bed I Made;Allen Stone;0;4;C Dm7 Em7 E7 Am7 Dm7 C C Dm7 Em7 E7 Am7 Dm7 G7 / 3x(F E7 Am7) Dm G7 C / 2x(Dm G7) Dm Em A G7
Bed Intruder Song;Antoine Dodson, The Gregory Brothers;0;0;2xGm Cm Dm / Eb Dm Cm Gm Eb Dm Cm F 2xGm
Behind Blue Eyes;The Who;0;0;Em G D Dsus4 Cadd9 Asus2 / C D G C D E Bsus2 C D Asus2 / 2x(E Bsus2 A) E Bm G D Bsus2 A D Bm A 
Best Part;Daniel Caesar;0;0;Gmaj7 Dm7 Cmaj7 Ebmaj7
Bitch;Meredith Brooks;-5;0;2x(E [B] A) C#m F#m A / E B F#m A E B C#m A / B C#m A
Black is the Colour;Christy Moore;9;0;D E F#m 2x(D E C#7) D E F#m
Blame It On The Boogie;The Jacksons;-6;0;F#m7 A D A F#m7 A D Esus4 / A Fmaj7 G A / 3xA Esus4
Bring Me To Life;Evanesence;-9;0;2x(Gm D#) 2x(Gm D# Cm) / Gm A# F Gm / 2x(Gm A# F Gm) D# F Gm / Cm 2x(Gm F) Cm A# D 2xGm 2xD# 2xGm D# F Gm
Broken Strings;James Morrisson;1;0;2x(Bm D G) Em / G A Bm 2x(G A F#m) G D / 2x(Em Bm D A) G Bm D A Em Bm A
Bubbly;Colbie Caillat;0;0;A Amaj7 D A / C#m D E Bm
Bye Bye Bye;NSYNC;0;0;3xG#m [F# C#m E] / 2x(E F#) 2x(G#m F# E [C#m F#]) / 8xG#m 2x(G#m F# E [C#m F#])
Can't Fight The Moonlight;LeAnn Rimes;-5;0;F#m Bm E D / 2x(Bm A) D D7 / 2x(Gm Cm F Eb D ) Cm D D7
Ciao Adios;Anne-Marie;-5;0;Bm D A G
Cool Girl;Dodie;-5;0;G A Bm A
Copenhague;Vetusta Morla;0;0;2x(Bm A) / F#m D A E F#m D 3x(D A E) Bm A E F#m
Crazy in Love;Beyoncé feat. Jay-Z;-5;0;Am F Dm E
Creep;Radiohead;4;0;B D# E Em
Crush;Jennifer Paige;-5;0;G#m F# C#m D#m / G#m F# C#m D#m / 2x(G#m C#m Emaj7 D#m7 C#m7 F#) 4xG#m / F# E 2x(F# G#m)
Cry Me A River;Justin Timberlake;0;0;G#m D# E C#m
Dan Dan;Field of View;0;0;Em A F#m Bm Em C#m7 [F#7] 2xBm G A F#m Bm Em F# 2xBm 2xG F#m Bm 2xG E F#7 / B F# G#m D# E [D#m] G#m A F# G A B
Dance Monkey;Tones and I;4;0;A#m F# G# Fm
Dancing On My Own;Calum Scott;-2;0;B F# E / G#m F# 2xE / 2x(B F# E) 2x(G#m F# E)
Deeper;Ella Eyre;-4;0;Em D Bm C
Don't Dream It's Over;Crowded House;0;0;D# Cm G# G / 3x(G# A# D# Cm) G#
Don't Know Why;Norah Jones;-3;0;Gmaj7 G7 Cmaj7 B Em7 A7 D7 G / Em7 A7 D D7 Em7 A7 2xD7 G D
Dreams (7" Mix);Gabrielle;0;0;Dmaj7 A F#m E
Dreams;Fleetwood Mac;-4;0;D E
Easy;Commodores;0;1;G Bm7 Am7 / 3x(G Bm7 Am7) F C G / 3x(Fmaj7 Dm7) Bb F Bb C
Easy;Mac Ayres;0;0;Fmaj7 F7 2xD7 Gm7 C7 Fmaj7 / Fmaj7 Dbmaj7 Ebmaj7 Fmaj7 Dbmaj7 [Ab7 Bb7] C7 / Gm7 C7 Fmaj7 [Bbmaj7 Am7] Abm7 Gm7 C7 Fmaj7 D7 Gm7 C7 Fmaj7 [Bbmaj7 Am7] Abm7 Gm7 Bbm7
Everything Burns;Ben Moody ft. Anastacia;0;0;Bm A F#m G / F# / Bm G Em A
Everywhere;Fleetwood Mac;-4;0;3x(C G) Am F / G Am F G Am G F G
Eye Of The Tiger;Survivor;-6;0;F#m D E F#m / Bm [A] E Bm [F#m] E Bm [A] E Bm C#m7 D F#m
Faith;George Michael;0;0;2xB E B / 3x(E B) C#m F# / 4xB
Fallin';Alicia Keys;-5;0;Bm F#m7
Fast Car;Tracy Chapman;4;4;C G Em D / C G Em D 2x(C Em D) C D
Feel;Robbie Williams;0;0;Em G B Am G B / C G D / Em
Genie in a Bottle;Christina Aguilera;-2;0;Dm C Bb A7
Gimme Shelter;Rolling Stones;0;0;C# / C# B A [B] E
Girls Just Want To Have Fun;Cyndi Lauper;-5;0;C Am F / Am G F Am G C / C Am C / C Am [F] G
God Is A Woman;Ariana Grande;-6;0;2x(Am G) Fmaj7 G Dm Em7 / 2x(Am G) F G
Gravity;John Mayer;0;0;G C / 2xAm7 2xD7 Gm Ebmaj7 D7
Hallelujah;Jeff Buckley;0;0;2x(C Am) F G C G C F G Am F G E7 Am / F Am F C G C
Harder to Breathe;Maroon 5;-2;0;7x(Bm [F#m]) 2xBm / 3x(Bm F#m A Em) 2x(Bm F# Bm) / 3x(Bm Gmaj7) Bm
Hero;Mariah Carey;-5;0;2xC Am G C A# Ab G / C Am G F Em Dm C 2xC Am G F Dm G C / 3x(Ab D# A#) Ab D# F
Hey There Delilah;Plain White T's;0;0;2x(D F#m) Bm [A] G A Bm A / 2x(D Bm) [A] 2x(D Bm) D / 2x(G A D Bm) G A 2xBm A
How to Save a Life;The Fray;0;0;A# F Gm F / 2x(D# F Gm A#) F A#
Howl;Florence + The Machine;-7;0;Gm F D# / F D# / Gm F D# / Gm F D# / F Gm D# D
I Believe I Can Fly;R. Kelly;0;0;C Fm / Am Fm C G / C Am7 Dm G Am Fm C Fm Am
